Activity Date,Activity Name,distance_miles,duration_min,pace_min_per_mile,avg_hr,max_hr,csv_distance_miles,csv_duration_min,csv_pace,csv_avg_hr,csv_max_hr,csv_elevation_gain,csv_calories,fit_distance_miles,fit_duration_min,fit_pace,fit_avg_hr,fit_max_hr,fit_min_hr,fit_zone1_pct,fit_zone2_pct,fit_zone3_pct,fit_zone4_pct,fit_zone5_pct,fit_elevation_gain_m,fit_elevation_loss_m,fit_avg_cadence,fit_pace_variability,is_long_run,is_tempo,is_speed_work,is_easy,is_marathon,is_bonked
"Jan 11, 2026, 2:25:11 AM",Morning Run,12.98,99.87,7.69,169.3,178,12.98,99.77,7.69,169.0,178.0,63.0,1187.0,12.98,99.87,7.69,169.3,178,134,0.0,0.0,0.3,47.5,52.2,158.0,159.4,178.1,,False,True,False,False,False,False
"Jan 10, 2026, 3:13:26 AM",Morning Run,3.69,36.22,9.82,142.5,179,3.69,35.73,9.68,143.0,179.0,0.0,343.0,3.69,36.22,9.82,142.5,179,97,9.0,46.5,4.3,18.9,21.2,37.6,42.4,170.4,,False,False,False,True,False,False
"Jan 9, 2026, 2:12:21 AM",Morning Run,5.89,49.9,8.47,153.2,175,5.89,49.85,8.46,153.0,175.0,3.0,548.0,5.89,49.9,8.47,153.2,175,117,0.0,5.4,52.3,25.2,17.0,64.6,70.8,180.1,,False,False,False,False,False,False
"Jan 8, 2026, 8:10:26 AM",Lunch Run,1.44,11.85,8.23,136.4,147,1.44,11.85,8.23,136.0,147.0,0.0,114.0,1.44,11.85,8.23,136.4,147,86,4.8,6.6,88.6,0.0,0.0,0,0,172.2,,False,False,False,False,False,False
"Jan 4, 2026, 1:34:29 AM",BYD Karachi Marathon,26.83,213.55,7.96,172.5,185,26.83,213.55,7.96,173.0,185.0,27.0,2632.0,26.83,213.55,7.96,172.5,185,135,0.0,0.0,0.1,16.4,83.5,236.0,233.6,177.9,,True,True,False,False,True,False
"Dec 28, 2025, 2:50:35 AM",Morning Run,1.75,26.8,15.31,123.6,147,1.75,19.28,11.02,126.0,147.0,7.0,216.0,1.75,26.8,15.31,123.6,147,53,22.9,48.2,29.0,0.0,0.0,28.6,29.2,168.2,,False,False,False,True,False,False
"Dec 27, 2025, 5:46:39 AM",Morning Run,6.09,55.17,9.06,140.2,160,6.84,55.17,8.07,140.0,160.0,0.0,543.0,6.09,55.17,9.06,140.2,160,91,6.3,24.8,41.8,27.1,0.0,0,0,175.4,,False,False,False,True,False,False
"Dec 26, 2025, 3:26:31 AM",Morning Run,3.82,34.48,9.03,147.5,163,3.82,34.48,9.03,148.0,163.0,7.0,369.0,3.82,34.48,9.03,147.5,163,72,1.5,2.1,72.2,24.3,0.0,41.2,43.8,177.4,,False,False,False,True,False,False
"Dec 25, 2025, 3:40:41 AM",Morning Run,4.28,37.17,8.68,160.8,184,4.28,36.43,8.51,161.0,184.0,5.0,433.0,4.28,37.17,8.68,160.8,184,83,2.3,3.3,31.7,18.1,44.5,47.8,57.0,172.2,,False,False,False,False,False,False
"Dec 23, 2025, 3:16:06 AM",Morning Run,5.29,43.23,8.18,158.2,182,5.29,43.15,8.16,158.0,182.0,8.0,505.0,5.29,43.23,8.18,158.2,182,75,1.0,3.8,36.1,24.7,34.4,49.2,57.2,177.8,,False,False,False,False,False,False
"Dec 21, 2025, 2:36:54 AM",Morning Trail Run,14.64,248.13,16.95,133.3,163,14.64,229.55,15.68,138.0,163.0,583.0,1681.0,14.64,248.13,16.95,133.3,163,70,13.1,26.4,49.5,11.0,0.0,785.2,779.0,154.3,,False,False,False,True,False,False
"Dec 20, 2025, 2:54:25 AM",Morning Run,11.25,92.78,8.25,161.6,179,11.25,87.4,7.77,162.0,179.0,21.0,1038.0,11.25,92.78,8.25,161.6,179,75,0.6,1.0,9.7,72.7,16.1,174.0,181.2,175.8,,False,False,False,False,False,False
"Dec 19, 2025, 5:30:25 AM",Morning Run,5.89,46.17,7.84,131.1,145,5.04,46.17,9.16,131.0,145.0,0.0,409.0,5.89,46.17,7.84,131.1,145,72,7.2,34.9,58.0,0.0,0.0,0,0,172.3,,False,True,False,False,False,False
